MSG_ID,DBTR_IBAN,CDTR_IBAN
00000001,LB384689BHRRC36MJSTV6P4B01VR,GB384689BHRRC01MJSTV6P4B04VR
00000002,LB384689BHRRC36MJSTV6P4B02VR,GB384689BHRRC02MJSTV6P4B04VR
00000003,LB384689BHRRC36MJSTV6P4B03VR,GB384689BHRRC03MJSTV6P4B04VR
00000004,LB384689BHRRC36MJSTV6P4B04VR,GB384689BHRRC04MJSTV6P4B04VR
00000005,LB384689BHRRC36MJSTV6P4B05VR,GB384689BHRRC05MJSTV6P4B04VR
00000006,LB384689BHRRC36MJSTV6P4B06VR,GB384689BHRRC06MJSTV6P4B04VR
00000007,LB384689BHRRC36MJSTV6P4B07VR,GB384689BHRRC07MJSTV6P4B04VR
00000008,LB384689BHRRC36MJSTV6P4B08VR,GB384689BHRRC08MJSTV6P4B04VR
00000009,LB384689BHRRC36MJSTV6P4B09VR,GB384689BHRRC09MJSTV6P4B04VR
00000010,LB384689BHRRC36MJSTV6P4B10VR,GB384689BHRRC10MJSTV6P4B04VR
